BlockId,NumEvents,Label,LLM_CoT_Anomaly
blk_8716244237763720958,13,1,1
blk_6291404884140655419,13,1,1
blk_8751446418791214913,13,1,1
blk_4961970861863065608,13,1,1   
blk_3888635850409849568,14,1,1
blk_-3842070622043972712,16,1,1
blk_-2437547284244111497,13,1,0
blk_-423065043106849758,13,1,0
blk_8491971867438278117,13,1,1
blk_8464056021668582878,13,1,1
blk_8582970738191859541,13,1,0
blk_8748609602444106276,13,1,0
blk_-4560669296456646716,13,1,0
blk_8782208400278719319,13,1,0
blk_8246640784664624144,13,1,1   
blk_9097589278338830437,13,1,1
blk_8729768707867317330,13,1,0
blk_448592873889985922,13,1,1
blk_8869736409186522879,13,1,1
blk_-967996491121599783,13,1,1
blk_-6807617704355293530,16,1,1
blk_-5462418187886984774,16,1,1
blk_4966276028193818154,13,1,0
blk_7999241143716748934,13,1,1
blk_5647191344005583177,20,1,1   
blk_8251359911027527969,15,1,0
blk_7985524981839863080,14,1,0
blk_-4636159087827707811,13,1,0
blk_1692120908097027760,13,1,1
blk_6778948312309528424,13,1,0
blk_-250264036841950616,13,0,0
blk_-529561454604787020,13,0,0
blk_1764313912257036874,13,0,0
blk_-836233151529212612,13,0,0
blk_2585807940696131461,16,0,1  
blk_5832875395380367188,13,0,0
blk_3880235219238735082,13,0,0
blk_615202211455656487,13,0,0
blk_3207545031261618191,13,0,0
blk_4570337774005641311,13,0,0
blk_6420857752883092988,13,0,0
blk_350696426895410369,13,0,0
blk_-1738283557460552416,13,0,0
blk_8720005406020789554,13,0,0
blk_1113822473565022381,13,0,0
blk_-1954051922809122540,13,0,0
blk_-3009375617770940708,13,0,0
blk_7183566620789659043,13,0,0
blk_-5398865867285538481,13,0,0
blk_6866437495408466341,13,0,0
blk_-55630469942090497,13,0,0
blk_-439553142940473726,13,0,0
blk_984344016805281800,13,0,0
blk_-6451481066416869394,13,0,0
blk_-7086735329275631321,13,0,0
blk_-7430595320512999486,13,0,0
blk_-4152766882909210815,13,0,0
blk_-4069087448078482387,13,0,0
blk_-8296880933210608104,13,0,0
blk_-5737226399349430530,13,0,0
blk_1341623608879513996,13,0,0
blk_-4445849221383598845,13,0,0
blk_-533210835770446829,13,0,0
blk_4605973202398610041,13,0,0
blk_2342220141680518439,13,0,0
blk_6654063595994991509,13,0,0
blk_-8211465725934141889,13,0,0
blk_7762399961074132266,13,0,0
blk_65484179986302964,13,0,0
blk_-6016419927344806254,13,0,0
blk_8507581906735355147,13,0,1
blk_7959846212288823481,13,0,1
blk_-8284328754653595860,13,0,1
blk_-1559690858566389454,13,0,1
blk_1475959946638311826,13,0,1
blk_-2792935853305331615,13,0,1
blk_5380593491740074714,14,0,0
blk_-7424651858149715762,14,0,0
blk_-4856764023353422443,14,0,1
blk_-8588230903310885315,15,0,0
blk_9005594748879624622,13,0,0
blk_6182135678281034149,13,0,0
blk_-3232238827747651200,13,0,0
blk_5473735715758771251,13,0,0
blk_116439114650155937,13,0,1
blk_-1051183647010524801,13,0,1
blk_2298072726739764001,13,0,1
blk_-7395604080089833063,13,0,1
blk_-6300535047327763733,13,0,1
blk_2810430719974764986,14,0,0
blk_-2276466771376002171,13,0,0
blk_-4746839249994012299,13,0,0
blk_79344661587814189,13,0,0
blk_845619111872659887,14,0,0
blk_7283040781718105945,13,0,1
blk_7682893831399115890,13,0,0
blk_6309418393114897475,16,0,1   
blk_-6869109743241938944,13,0,0
blk_4298455669642651545,13,0,1
blk_-6618124016448099417,13,0,0
